UF,Mesorregião,Cidade,Latitude,Longitude,População 2022,Cód. município,Cód. mesorregião,Região
RO,Madeira-Guaporé,Porto Velho,-8.768892,-63.831446,460434,1100205,1101,Norte
RO,Leste Rondoniense,Ji-Paraná,-10.882051,-61.945095,124333,1100122,1102,Norte
AC,Vale do Juruá,Cruzeiro do Sul,-7.630690,-72.672531,91888,1200203,1201,Norte
AC,Vale do Acre,Rio Branco,-9.978299,-67.810529,364756,1200401,1202,Norte
AM,Norte Amazonense,São Gabriel da Cachoeira,-0.136463,-67.083643,51795,1303809,1301,Norte
AM,Sudoeste Amazonense,Tabatinga,-4.231884,-69.946244,66764,1304062,1302,Norte
AM,Centro Amazonense,Manaus,-3.134691,-60.023335,2063689,1302603,1303,Norte
AM,Sul Amazonense,Humaitá,-7.512225,-63.026698,57473,1301704,1304,Norte
RR,Norte de Roraima,Boa Vista,2.816682,-60.670533,413486,1400100,1401,Norte
RR,Sul de Roraima,Rorainópolis,0.937195,-60.425060,32647,1400472,1402,Norte
PA,Baixo Amazonas,Santarém,-2.436213,-54.718570,331942,1506807,1501,Norte
PA,Marajó,Breves,-1.690737,-50.480895,106968,1501808,1502,Norte
PA,Metropolitana de Belém,Belém,-1.459845,-48.487826,1303403,1501402,1503,Norte
PA,Nordeste Paraense,Abaetetuba,-1.723470,-48.884404,158188,1500107,1504,Norte
PA,Sudoeste Paraense,Altamira,-3.205660,-52.214376,126279,1500602,1505,Norte
PA,Sudeste Paraense,Parauapebas,-6.072730,-49.900781,267836,1505536,1506,Norte
AP,Norte do Amapá,Oiapoque,3.851131,-51.830553,27482,1600501,1601,Norte
AP,Sul do Amapá,Macapá,0.038951,-51.057405,442933,1600303,1602,Norte
TO,Ocidental do Tocantins,Araguaína,-7.191329,-48.208705,171301,1702109,1701,Norte
TO,Oriental do Tocantins,Palmas,-10.163253,-48.351044,302692,1721000,1702,Norte
MA,Norte Maranhense,São Luís,-2.531886,-44.297919,1037775,2111300,2101,Nordeste
